name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
AdventHealth Center Ice,3173 Cypress Ridge Boulevard,Wesley Chapel,FL,28.1969,-82.3551,NHL,True,(813) 803-7372,https://ahcenterice.com/,"5 Sheets, 3 NHL Sheets, Olympic Sheet, Mini Rink, Pro Shop, Fitness Center",,,,,,,
Brandon Ice Sports Forum,10222 Elizabeth Place,Tampa,FL,27.9463,-82.3427,NHL,True,(813) 684-7825,https://www.theicesportsforum.com/,"2 NHL Sheets, Hockey, Figure Skating, Public Skating",,,,,,,
Clearwater Ice Arena,13940 Icot Boulevard,Clearwater,FL,27.8955,-82.7138,NHL,True,(727) 536-5843,https://tampabayice.com/clearwater/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Tampa Bay Skating Academy - Oldsmar,255 Forest Lakes Boulevard,Oldsmar,FL,28.0358,-82.6614,NHL,True,(813) 854-4010,https://tampabayice.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Tampa Bay Skating Academy - Countryside,27001 US Highway 19 North,Clearwater,FL,28.0175,-82.7338,STANDARD,True,(727) 723-7785,https://tampabayice.com/,"Ice Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Daytona Ice Arena,2400 South Ridgewood Avenue,South Daytona,FL,29.1610,-81.0072,NHL,True,(386) 322-4848,https://daytonaicearena.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Ellenton Ice and Sports Complex,5309 29th Street East,Ellenton,FL,27.5307,-82.5037,NHL,True,(941) 723-3663,https://www.ellentonice.com/,"2 NHL Sheets, Hockey, Figure Skating, Public Skating",,,,,,,
Hertz Arena Recreational Rinks,11000 Everblades Parkway,Estero,FL,26.4324,-81.7783,NHL,True,(239) 948-7825,https://www.skateeverblades.com/,"2 Recreational Ice Sheets, Pro Shop, Concessions",,,,,,,
Hertz Arena,11000 Everblades Parkway,Estero,FL,26.4324,-81.7783,STANDARD,True,(239) 948-7825,https://hertzarena.com/,"ECHL Arena, Ice Hockey, Concessions",,,,,,,
Fort Myers Skatium,2250 Broadway,Fort Myers,FL,26.6403,-81.8723,NHL,True,(239) 321-7510,https://www.fmskatium.org/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
The Rink on the Beach,4601 North Federal Highway,Pompano Beach,FL,26.2875,-80.0965,NHL,True,(954) 943-1437,https://www.rinkonthebeach.com/,"1 Ice Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Community First Igloo,3605 Philips Highway,Jacksonville,FL,30.2889,-81.6359,NHL,True,(904) 399-3223,https://communityfirstigloo.com/,"2 NHL Sheets, Hockey, Figure Skating, Public Skating, Restaurant",,,,,,,
Ice Factory of Central Florida,2221 Partin Settlement Road,Kissimmee,FL,28.2920,-81.3677,OLYMPIC,True,(407) 933-4259,https://icefactory.com/,"Olympic Sheet, Hockey, Figure Skating, Public Skating, Curling",,,,,,,
Miami Ice Arena,10355 Hammocks Boulevard,Miami,FL,25.6727,-80.3650,NHL,True,(305) 386-8288,https://miamiicearena.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Palm Beach Ice Works,1590 North Florida Mango Road,West Palm Beach,FL,26.7081,-80.0796,NHL,True,(561) 656-4046,https://www.pbiw.org/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Palm Beach Skate Zone,8125 Lake Worth Road,Lake Worth,FL,26.6168,-80.1747,NHL,True,(561) 963-5900,https://pbskatezone.com/,"3 Ice Sheets, Hockey, Figure Skating, Public Skating",,,,,,,
Pines Ice Arena,12425 Taft Street,Pembroke Pines,FL,26.0248,-80.3108,NHL,True,(954) 704-8700,https://www.pinesice.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Pensacola Bay Center,201 East Gregory Street,Pensacola,FL,30.4177,-87.2087,STANDARD,True,(850) 432-0800,https://www.pensacolabaycenter.com/,"SPHL Arena, Seasonal Ice, Concessions",,,,,,,
Orlando Ice Den,8701 Maitland Summit Boulevard,Orlando,FL,28.6376,-81.3979,NHL,True,(407) 916-2550,https://www.orlandoiceden.com/,"2 Ice Sheets, Hockey, Figure Skating, Public Skating",,,,,,,
Space Coast Iceplex,720 Roy Wall Boulevard,Rockledge,FL,28.3240,-80.7352,NHL,True,(321) 504-7500,https://www.spacecoasticeplex.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
