name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
All Seasons Center - Vernon Arena,770 7th St NE,Sioux Center,IA,43.0867,-96.1677,STANDARD,True,(712) 722-4386,https://siouxcenter.org/139/All-Seasons-Center,"Ice Arena, Public Skate, Adult Hockey, Waterpark",,,,,,,
Ames/ISU Ice Arena,1505 Gateway Hills Park Dr,Ames,IA,42.0108,-93.6373,NHL,True,(515) 292-6835,https://www.cityofames.org/My-Government/Departments/Parks-and-Recreation/Facilities/AmesISU-Ice-Arena,"Ice Sheet, Public Skate, Adult Hockey, Broomball, Curling",,,,,,,
Buccaneer Arena,7201 Hickman Rd,Urbandale,IA,41.6140,-93.7173,NHL,True,(515) 278-2827,https://bucshockey.com/sports/home,"USHL Arena, Hockey, Concessions",,,,,,,
BodyArmor Ice Rink,1451 Coral Ridge Ave,Coralville,IA,41.6911,-91.6096,NHL,True,(319) 774-5920,https://www.bodyarmoricerink.com,"Ice Rink, Public Skate, Drop-In Hockey, Stick & Puck",,,,,,,
Five Flags Center,405 Main St,Dubuque,IA,42.4961,-90.6666,NHL,True,(563) 589-4254,https://www.fiveflagscenter.com,"Multi-purpose Arena, Event Ice Capability, Concessions",,,,,,,
ImOn Ice Arena,1100 Rockford Rd SW,Cedar Rapids,IA,41.9617,-91.6846,NHL,True,(319) 398-0100,https://www.creventslive.com/p/venues/imonice,"2 Ice Sheets, Public Skate, Youth Hockey, Adult Hockey, Figure Skating",,,,,,,
IBP Ice Center,3808 Stadium Dr,Sioux City,IA,42.4744,-96.3724,STANDARD,True,(712) 279-4880,https://www.sioux-city.org/government/departments-g-p/parks-recreation-department/ibp-ice-center,"Ice Sheet, Public Skate, Youth Hockey, Tournaments, Figure Skating",,,,,,,
ImOn Arena,1800 Admiral Sheehy Dr,Dubuque,IA,42.5280,-90.6710,NHL,True,,https://imonarena.com,"Single Sheet Ice Rink, Event Space, Hockey, Lessons",,,,,,,
Lakes Ice Arena,3800 Sunner Ave,Spirit Lake,IA,43.4167,-95.1239,STANDARD,True,,https://www.lakesicearena.com,"Ice Arena, Youth Hockey, Public Skate",,,,,,,
Mason City Arena,111 S Washington Ave,Mason City,IA,43.1517,-93.2010,NHL,True,(641) 421-3673,https://masoncityarena.com,"NAHL Arena, Hockey, Public Skate, Concessions",,,,,,,
MidAmerican Energy Company RecPlex,6500 Grand Ave,West Des Moines,IA,41.5580,-93.7994,NHL,True,(515) 440-4820,https://www.therecplex.com,"2 Ice Rinks, Turf Fields, Courts, Meeting Rooms, Esports",,,,,,,
Metro Ice Sports Facility,5100 NW 72nd St,Urbandale,IA,41.6556,-93.7184,NHL,True,(515) 276-7200,https://metroicesports.com,"2 NHL Sheets, Public Skate, Hockey, Figure Skating, Concessions",,,,,,,
Mid-America Center,1 Arena Way,Council Bluffs,IA,41.2375,-95.8900,NHL,True,(712) 323-0536,https://www.midamericacenter.com,"Multi-purpose Arena, Hockey Configuration, Concessions",,,,,,,
The River's Edge,700 W River Dr,Davenport,IA,41.5207,-90.5844,NHL,True,(563) 328-7275,http://www.qcscskate.com,"Ice Arena, Public Skate, Hockey, Figure Skating",,,,,,,
Tyson Events Center,401 Gordon Dr,Sioux City,IA,42.4929,-96.4071,NHL,True,(712) 279-4850,https://tysoncenter.com,"USHL Arena, Hockey Configuration, Concessions",,,,,,,
Wells Fargo Arena,730 3rd St,Des Moines,IA,41.5925,-93.6218,NHL,True,(515) 564-8000,https://www.iowaeventscenter.com/wells-fargo-arena,"AHL Arena, Hockey Configuration, Concessions, Suites",,,,,,,
Xtream Arena,200 E 9th St Ste 100,Coralville,IA,41.6814,-91.5668,NHL,True,(319) 569-4501,https://xtreamarena.com,"ECHL Arena, Hockey Configuration, Concessions",,,,,,,
Young Arena,125 Commercial St,Waterloo,IA,42.4986,-92.3397,OLYMPIC,True,(319) 291-4300,https://www.youngarena.com,"Olympic Sheet, USHL Arena, Public Skate, Youth Hockey, Adult Hockey",,,,,,,
