name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
USA Hockey Arena,14900 Beck Rd,Plymouth,MI,42.3894,-83.5064,NHL,True,(734) 453-6400,https://www.usahockeyarena.com,"2 NHL Sheets, Pro Shop, Locker Rooms",8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,7:30 AM - 9:00 PM,7:30 AM - 9:00 PM
Yost Ice Arena,1116 S State St,Ann Arbor,MI,42.2687,-83.7406,NHL,True,(734) 764-4600,https://mgoblue.com/sports/2017/6/16/facilities-yost-arena-html,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Munn Ice Arena,509 Birch Rd,East Lansing,MI,42.7259,-84.4913,NHL,True,(517) 353-4698,https://munnicearena.msu.edu,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Suburban Ice Macomb,54755 Broughton Rd,Macomb,MI,42.7003,-82.9210,NHL,True,(586) 992-8600,https://www.suburbanicemacomb.com,"Pro Shop, Locker Rooms, Concessions",9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM
Suburban Ice Farmington Hills,23996 Freeway Park Drive,Farmington Hills,MI,42.4656,-83.4233,NHL,True,(248) 888-1400,https://www.suburbanicefarmingtonhills.com,"Pro Shop, Locker Rooms, Concessions",,,,,,,
Ann Arbor Ice Cube,2121 Oak Valley Drive,Ann Arbor,MI,42.2542,-83.7782,NHL,True,,https://www.biggbycoffeeicecube.com/ann-arbor/home,"Skate Rental, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Kensington Valley Ice House,10540 Citation Drive,Brighton,MI,42.5186,-83.7449,NHL,True,(810) 494-5555,https://www.kvicehouse.com,"Locker Rooms, Concessions",,,,,,,
Lawson Ice Arena,2009 Howard St,Kalamazoo,MI,42.2759,-85.6136,NHL,True,(269) 387-3050,https://wmubroncos.com/facilities/lawson-arena/6,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Eddie Edgar Ice Arena,33841 Lyndon St,Livonia,MI,42.3891,-83.3773,NHL,True,(734) 422-5172,https://www.eddieedgar.org,"Locker Rooms, Concessions",9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,Closed,Closed
Detroit Skating Club,888 Denison Ct,Bloomfield Hills,MI,42.6077,-83.2916,NHL,True,(248) 332-3000,https://www.dscclub.com,"Pro Shop, Locker Rooms",5:30 AM - 12:00 AM,5:30 AM - 12:00 AM,5:30 AM - 12:00 AM,5:30 AM - 12:00 AM,5:30 AM - 12:00 AM,5:30 AM - 12:00 AM,6:30 AM - 11:00 PM
Fraser Hockeyland,34400 Utica Rd,Fraser,MI,42.5494,-82.9569,NHL,True,(586) 294-2400,https://www.fraserhockeyland.com,"5 NHL Sheets, Pro Shop, Concessions, Arcade",9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 5:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM
Arctic Coliseum,501 Coliseum Dr,Chelsea,MI,42.3020,-84.0292,NHL,True,(734) 433-4444,https://www.arcticcoliseum.net,"2 NHL Sheets, Concessions, Arcade",7:00 AM - 2:00 AM,7:00 AM - 2:00 AM,7:00 AM - 2:00 AM,7:00 AM - 2:00 AM,7:00 AM - 2:00 AM,7:00 AM - 2:00 AM,7:00 AM - 2:00 AM
