name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
Invisalign Arena at WCC,111-100 Competition Center Drive,Morrisville,NC,35.8506,-78.8171,NHL,True,(919) 646-5400,https://www.invisalignarena.com/,"2 NHL Sheets, Restaurant, Pro Shop, Locker Rooms",,,,,,,
Polar Ice Cary,1410 Buck Jones Road,Raleigh,NC,35.7652,-78.7453,NHL,True,(919) 460-2756,https://www.polaricecary.com/,"1 NHL Sheet, Public Skating, Hockey, Figure Skating",,,,,,,
Polar Ice Raleigh,2601 N Raleigh Boulevard,Raleigh,NC,35.8176,-78.6025,OLYMPIC,True,(919) 878-9002,https://www.polariceraleigh.com/,"Olympic Sheet, Public Skating, Hockey, Figure Skating, Camp Chillin",,,,,,,
Polar Ice Garner,103 New Rand Road,Garner,NC,35.7076,-78.6222,NHL,True,(919) 861-7465,https://www.polaricegarner.com/,"1 NHL Sheet, Public Skating, Hockey, Figure Skating",,,,,,,
Polar Ice Wake Forest,1839 S Main Street #200,Wake Forest,NC,35.9506,-78.5262,NHL,True,(919) 453-1500,https://www.polaricewakeforest.com/,"2 NHL Sheets, Public Skating, Hockey, Figure Skating, Camp Chillin",,,,,,,
Orange County Sportsplex,101 Meadowlands Drive,Hillsborough,NC,36.0614,-79.0761,NHL,True,(919) 644-0339,https://www.oc-sportsplex.com/ice-rink/,"NHL-Sized Sheet, Pro Shop, Snack Bar, Fitness Center, Aquatic Center",,,,,,,
Carolina IceZone,104 Red Banks Road,Greenville,NC,35.5844,-77.3528,NHL,True,(252) 353-8888,https://carolinaicezone.com/,"Ice Skating, Hockey Leagues, Cafe/Snacks, Figure Skating",,,,,,,
Greensboro Ice House,6119 Landmark Center Boulevard,Greensboro,NC,36.0507,-79.9043,NHL,True,(336) 852-1515,https://www.greensboroice.com/,"Standard 200 x 85 Sheet, Pro Shop, Snack Bar, Locker Rooms",,,,,,,
Extreme Ice Center,4705 Indian Trail Fairview Road,Indian Trail,NC,35.0735,-80.6674,NHL,True,(704) 882-1830,https://xicenter.com/,"2 NHL Sheets, Pro Shop, Fitness Center, Restaurant/Bar, Locker Rooms",6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM
Pineville Ice House,400 Towne Centre Boulevard,Pineville,NC,35.0821,-80.8836,NHL,True,(704) 889-9000,https://www.pinevilleice.com/,"NHL-Sized Sheet, Pro Shop, Bar & Grill, Public Skating, Hockey",,,,,,,
Polar Ice Wilmington,7201 Ogden Business Lane,Wilmington,NC,34.2733,-77.8217,NHL,True,(910) 686-1987,https://www.polaricewilmington.com/,"1 NHL Sheet, Pro Shop, Snack Bar, Public Skating, Hockey, Figure Skating",,,,,,,
Cleland Ice & Inline Skating Rinks,1606 Reilly Street,Fort Liberty,NC,35.1395,-79.0067,STANDARD,True,(910) 396-5127,https://bragg.armymwr.com/programs/cleland-ice-and-inline-skating-rink,"Ice Sheet, Inline Rink, Open Skating, Lessons, Private Ice Rental",11:30 AM - 1:30 PM,3:00 PM - 5:00 PM,11:30 AM - 1:30 PM,,7:30 PM - 10:00 PM,2:00 PM - 4:30 PM,2:00 PM - 4:30 PM
Winston-Salem Fairgrounds Annex,414 Deacon Boulevard,Winston-Salem,NC,36.1267,-80.2561,STANDARD,True,(336) 727-2236,https://wsfairgrounds.com/ice-skating/,"Arena Ice Rink, Public Skating, Hockey Events",,,,,,,
Crown Coliseum,1960 Coliseum Drive,Fayetteville,NC,35.0157,-78.8922,STANDARD,True,(910) 438-4100,https://www.crowncomplexnc.com/,"Multi-Purpose Arena, Home Ice for Fayetteville Marksmen, Concessions",,,,,,,
Bojangles Coliseum,2700 E Independence Boulevard,Charlotte,NC,35.2038,-80.7957,STANDARD,True,(704) 372-3600,https://www.boplex.com/our-venues/bojangles-coliseum,"Multi-Purpose Arena, Home Ice for Charlotte Checkers, Concessions",,,,,,,
Lenovo Center,1400 Edwards Mill Road,Raleigh,NC,35.8033,-78.7218,NHL,True,(919) 861-2300,https://www.lenovocenter.com/,"NHL Arena, Home Ice for Carolina Hurricanes, Pro Shop, Concessions",,,,,,,
