name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
Aerodrome Ice Skating Complex,8220 Willow Place Drive North,Houston,TX,29.9576,-95.5548,NHL,True,(281) 847-5283,https://www.aerodromes.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Allen Community Ice Rink,190 East Stacy Road Suite 1314,Allen,TX,33.1302,-96.6557,NHL,True,(972) 912-1097,https://www.lifeinallen.org/recreation_facilities/allen_community_ice_rink/index.php,"1 NHL Sheet, Public Skating, Hockey, Skate Sharpening, Pro Shop",,,,,,,
American Airlines Center,2500 Victory Avenue,Dallas,TX,32.7905,-96.8103,STANDARD,True,(214) 222-3687,https://www.americanairlinescenter.com/,"NHL Arena, Ice Hockey, Concessions",,,,,,,
American Bank Center,1901 North Shoreline Boulevard,Corpus Christi,TX,27.8080,-97.3938,STANDARD,True,(361) 826-4700,https://americanbankcenter.com/,"Ice-capable Arena, Former Hockey Venue, Concessions",,,,,,,
Bellerive Ice Center,7300 Bellerive Drive,Houston,TX,29.7074,-95.5096,NHL,True,,https://belleriveice.com/,"1 Ice Sheet, Youth Hockey, Figure Skating, Curling",,,,,,,
Chaparral Ice,2525 West Anderson Lane,Austin,TX,30.3584,-97.7336,NHL,True,(512) 252-8500,https://chaparralice.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - Euless,1400 South Pipeline Road,Euless,TX,32.8199,-97.1345,NHL,True,(817) 267-4233,https://www.nhl.com/stars/starcenters/euless,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - Farmers Branch,12700 North Stemmons Freeway,Farmers Branch,TX,32.9194,-96.8991,NHL,True,(214) 432-3131,https://www.nhl.com/stars/starcenters/farmers-branch,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - Mansfield,1715 East Broad Street,Mansfield,TX,32.5696,-97.1167,NHL,True,(830) 510-3140,https://www.nhl.com/stars/starcenters/mansfield,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - McKinney,6993 Stars Avenue,McKinney,TX,33.1330,-96.7077,NHL,True,(469) 675-8325,https://www.nhl.com/stars/starcenters/mckinney,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - Plano,4020 West Plano Parkway,Plano,TX,33.0153,-96.7693,NHL,True,(972) 758-7528,https://www.nhl.com/stars/starcenters/plano,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - Richardson,522 Centennial Boulevard,Richardson,TX,32.9405,-96.7329,NHL,True,(972) 680-7825,https://www.nhl.com/stars/starcenters/richardson,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter - Valley Ranch,211 Cowboys Parkway,Irving,TX,32.9416,-96.9529,NHL,True,,https://www.nhl.com/stars/starcenters/valley-ranch,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Children's Health StarCenter Multisport - Northlake,100 Pecan Square Road,Northlake,TX,33.1342,-97.2656,NHL,True,,https://www.starcentermultisport.com/northlake,"1 Ice Sheet, Hockey, Public Skating, Multisport Facility",,,,,,,
Comerica Center,2601 Avenue of the Stars,Frisco,TX,33.0998,-96.8199,NHL,True,(214) 387-5600,https://www.nhl.com/stars/starcenters/frisco,"Practice Ice, Event Center, Hockey, Figure Skating",,,,,,,
Credit Union of Texas Event Center,200 East Stacy Road #1350,Allen,TX,33.1297,-96.6554,STANDARD,True,(972) 912-1057,https://www.cutxeventcenter.com/,"ECHL Arena, Ice Hockey, Concessions",,,,,,,
Ector County Coliseum,4201 Andrews Highway,Odessa,TX,31.8877,-102.3907,STANDARD,True,(432) 366-3541,https://www.ectorcountycoliseum.org/,"NAHL Arena, Ice Hockey, Concessions",,,,,,,
El Paso County Coliseum Events Center,4100 East Paisano Drive,El Paso,TX,31.7703,-106.4434,STANDARD,True,(915) 533-9899,http://www.elpasocoliseum.com/,"NAHL Arena, Ice Hockey, Concessions",,,,,,,
Ice & Field at The Crossover,1717 Scottsdale Drive,Cedar Park,TX,30.5259,-97.8192,NHL,True,(512) 598-2800,https://iceandfield.com/,"2 NHL Sheets, Hockey, Figure Skating, Public Skating, Turf Field",,,,,,,
Ice at the Galleria,5015 Westheimer Road,Houston,TX,29.7394,-95.4640,STANDARD,True,(713) 621-1500,https://www.iceatthegalleria.com/,"Mall Ice Rink, Public Skating, Lessons",,,,,,,
Ice Skate Memorial City,303 Memorial City Way #902,Houston,TX,29.7814,-95.5393,STANDARD,True,(713) 463-9296,https://www.iceskatememorialcity.com/,"Mall Ice Rink, Public Skating, Lessons, Hockey",,,,,,,
Ice & Golf Center at Northwoods,17530 Henderson Pass,San Antonio,TX,29.6033,-98.4637,NHL,True,(210) 490-9550,https://www.northwoodsice.net/,"1 Regulation Sheet, Hockey, Locker Rooms, Public Skating",,,,,,,
NYTEX Sports Centre,8851 Ice House Drive,North Richland Hills,TX,32.8596,-97.1997,NHL,True,(817) 336-4423,https://www.nytexsports.com/,"1 NHL Sheet, NA3HL Arena, Hockey, Figure Skating, Public Skating",,,,,,,
Sugar Land Ice and Sports Center,16225 Lexington Boulevard,Sugar Land,TX,29.5987,-95.6264,NHL,True,(281) 265-7465,https://www.sugarlandice.com/,"1 NHL Sheet, Hockey, Figure Skating, Public Skating",,,,,,,
Amarillo Civic Center Complex,401 South Buchanan Street,Amarillo,TX,35.2070,-101.8316,STANDARD,True,(806) 378-3096,https://www.amarillociviccenter.com/,"NAHL Arena, Ice Hockey, Concessions",,,,,,,
H-E-B Center at Cedar Park,2100 Avenue of the Stars,Cedar Park,TX,30.5414,-97.8201,STANDARD,True,(512) 600-5000,https://www.hebcenter.com/,"AHL Arena, Ice Hockey, Concessions",,,,,,,
CRC Roofers Coliseum,50 East 43rd Street,San Angelo,TX,31.5020,-100.4395,STANDARD,True,(325) 653-9577,https://www.sanangelo.gov/Facilities/Facility/Details/CRC-Roofers-Coliseum-45,"Ice-capable Arena, Former Hockey Venue, Concessions",,,,,,,
