name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
Fifth Third Arena,1801 W Jackson Blvd,Chicago,IL,41.8776,-87.6723,Indoor,True,(312) 455-7000,https://www.fifththirdarena.com,"2 NHL Sheets, Pro Shop, Concessions, Skate Rental, Tavern",6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM
Johnny's IceHouse West,2551 W Madison St,Chicago,IL,41.8812,-87.6911,Indoor,True,(312) 243-4441,https://www.johnnysicehouse.com,"1 NHL Sheet, Stanley's Club Bar, Pro Shop, Skate Rental",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Johnny's IceHouse East,1350 W Madison St,Chicago,IL,41.8817,-87.6614,Indoor,True,(312) 226-5555,https://www.johnnysicehouse.com,"1 NHL Sheet, Bar, Skate Rental",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Robert Crown Community Center,1801 Main St,Evanston,IL,42.0334,-87.7015,Indoor,True,(847) 448-8258,https://www.cityofevanston.org,"1 NHL Sheet, 1 Studio Sheet, Skate Rental, Concessions",8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 9:00 PM
Centennial Ice Rink,2300 Old Glenview Rd,Wilmette,IL,42.0645,-87.746,Indoor,True,(847) 256-9666,https://www.wilmetteparkdistrict.org,"1 Indoor Sheet, Outdoor Studio Sheet (Seasonal), Pro Shop, Skate Rental",Varies,Varies,Varies,Varies,Varies,Varies,Varies
All Seasons Ice Rinks,31W330 N Aurora Rd,Naperville,IL,41.7766,-88.2435,Indoor,True,(630) 851-0600,https://www.allseasonsicerinks.com,"2 NHL Sheets, 1 Studio Sheet, Pro Shop, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Seven Bridges Ice Arena,6690 S Route 53,Woodridge,IL,41.7663,-88.0441,Indoor,True,(630) 887-1234,https://www.sevenbridgesicearena.com,"1 NHL Sheet, 1 Olympic Sheet, Turf Field, Pro Shop, Cafe",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Fox Valley Ice Arena,1996 S Kirk Rd,Geneva,IL,41.8688,-88.2811,Indoor,True,(630) 262-0690,https://www.fvia.com,"Home of Chicago Steel (USHL), 1 NHL Sheet, 1 Olympic Sheet, Restaurant, Fitness Center",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Leafs Ice Centre,801 Sunset Dr,West Dundee,IL,42.0838,-88.2982,Indoor,True,(847) 844-8700,https://www.leafsicecentre.com,"3 NHL Sheets, Pro Shop, Concessions, Training Room",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Owens Center,1019 W Lake Ave,Peoria,IL,40.741,-89.6124,Indoor,True,(309) 686-3368,https://peoriaparks.org/facilities/owens-center/,"2 Full Size Sheets, Pro Shop, Skate Rental, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Nelson Center,1601 N 5th St,Springfield,IL,39.8228,-89.6455,Indoor,True,(217) 753-2800,https://www.springfieldparks.org,"2 Indoor Sheets, Skate Rental, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
